"","ncomm","sim_type","i","j"
"623",60,"lockdown, no surge",4,28
"624",70,"lockdown, surge",4,28
"625",92,"control",4,29
"626",68,"lockdown, no surge",4,29
"627",73,"lockdown, surge",4,29
"628",94,"control",4,30
"629",70,"lockdown, no surge",4,30
"630",75,"lockdown, surge",4,30
"631",98,"control",4,31
"632",71,"lockdown, no surge",4,31
"633",76,"lockdown, surge",4,31
"634",99,"control",4,32
"635",74,"lockdown, no surge",4,32
"636",78,"lockdown, surge",4,32
"637",99,"control",4,33
"638",76,"lockdown, no surge",4,33
"639",79,"lockdown, surge",4,33
"640",99,"control",4,34
"641",82,"lockdown, no surge",4,34
"642",81,"lockdown, surge",4,34
"643",99,"control",4,35
"644",85,"lockdown, no surge",4,35
"645",83,"lockdown, surge",4,35
"646",99,"control",4,36
"647",87,"lockdown, no surge",4,36
"648",87,"lockdown, surge",4,36
"649",100,"control",4,37
"650",88,"lockdown, no surge",4,37
"651",89,"lockdown, surge",4,37
"652",100,"control",4,38
"653",90,"lockdown, no surge",4,38
"654",90,"lockdown, surge",4,38
"655",100,"control",4,39
"656",91,"lockdown, no surge",4,39
"657",92,"lockdown, surge",4,39
"658",100,"control",4,40
"659",91,"lockdown, no surge",4,40
"660",93,"lockdown, surge",4,40
"661",100,"control",4,41
"662",93,"lockdown, no surge",4,41
"663",93,"lockdown, surge",4,41
"664",100,"control",4,42
"665",94,"lockdown, no surge",4,42
"666",93,"lockdown, surge",4,42
"667",100,"control",4,43
"668",95,"lockdown, no surge",4,43
"669",93,"lockdown, surge",4,43
"670",100,"control",4,44
"671",95,"lockdown, no surge",4,44
"672",95,"lockdown, surge",4,44
"673",100,"control",4,45
"674",95,"lockdown, no surge",4,45
"675",96,"lockdown, surge",4,45
"676",100,"control",4,46
"677",95,"lockdown, no surge",4,46
"678",96,"lockdown, surge",4,46
"679",100,"control",4,47
"680",95,"lockdown, no surge",4,47
"681",96,"lockdown, surge",4,47
"682",100,"control",4,48
"683",96,"lockdown, no surge",4,48
